DATE,vwretd
1995/12/04,0.010380
1995/12/05,0.004662
1995/12/06,0.002132
1995/12/07,-0.006554
1995/12/08,0.002035
1995/12/11,0.002498
1995/12/12,-0.002472
1995/12/13,0.004343
1995/12/14,-0.007732
1995/12/15,-0.002674
1995/12/18,-0.017154
1995/12/19,0.009824
1995/12/20,-0.004647
1995/12/21,0.007078
1995/12/22,0.003412
1995/12/26,0.003180
1995/12/27,0.001562
1995/12/28,-0.000305
1995/12/29,0.004453
1996/01/02,0.006606
1996/01/03,-0.000155
1996/01/04,-0.007674
1996/01/05,-0.001023
1996/01/08,0.002686
1996/01/09,-0.015878
1996/01/10,-0.015552
1996/01/11,0.008433
1996/01/12,-0.000991
1996/01/15,-0.005273
1996/01/16,0.009982
1996/01/17,-0.000530
1996/01/18,0.003797
1996/01/19,0.005719
1996/01/22,0.004291
1996/01/23,-0.000004
1996/01/24,0.010247
1996/01/25,-0.003688
1996/01/26,0.006238
1996/01/29,0.004041
1996/01/30,0.009156
1996/01/31,0.007995
1996/02/01,0.004625
1996/02/02,-0.002224
1996/02/05,0.007055
1996/02/06,0.006829
1996/02/07,0.003530
1996/02/08,0.007736
1996/02/09,0.000908
1996/02/12,0.005465
1996/02/13,-0.001932
1996/02/14,-0.004077
1996/02/15,-0.002696
1996/02/16,-0.003411
1996/02/20,-0.010383
1996/02/21,0.010269
1996/02/22,0.015227
1996/02/23,0.000660
1996/02/26,-0.009785
1996/02/27,-0.004139
1996/02/28,-0.001597
1996/02/29,-0.005460
1996/03/01,0.002594
1996/03/04,0.008815
1996/03/05,0.006695
1996/03/06,-0.003446
1996/03/07,0.001881
1996/03/08,-0.028423
1996/03/11,0.009471
1996/03/12,-0.004628
1996/03/13,0.004562
1996/03/14,0.004255
1996/03/15,0.001547
1996/03/18,0.014235
1996/03/19,-0.001153
1996/03/20,-0.002590
1996/03/21,-0.000676
1996/03/22,0.002254
1996/03/25,-0.002545
1996/03/26,0.003078
1996/03/27,-0.003120
1996/03/28,0.000335
1996/03/29,-0.001664
1996/04/01,0.010206
1996/04/02,0.002372
1996/04/03,0.001396
1996/04/04,0.000544
1996/04/08,-0.015994
1996/04/09,-0.000829
1996/04/10,-0.010693
1996/04/11,-0.005033
1996/04/12,0.008021
1996/04/15,0.008046
1996/04/16,0.005014
1996/04/17,-0.004500
1996/04/18,0.004790
1996/04/19,0.002396
1996/04/22,0.005950
1996/04/23,0.006042
1996/04/24,0.000204
1996/04/25,0.004663
1996/04/26,0.001817
1996/04/29,0.001040
1996/04/30,0.000460
1996/05/01,0.002329
1996/05/02,-0.015375
1996/05/03,-0.000711
1996/05/06,-0.001348
1996/05/07,-0.003478
1996/05/08,0.005750
1996/05/09,0.002651
1996/05/10,0.010629
1996/05/13,0.012823
1996/05/14,0.007136
1996/05/15,-0.000021
1996/05/16,0.000458
1996/05/17,0.005480
1996/05/20,0.005924
1996/05/21,-0.000341
1996/05/22,0.006080
1996/05/23,-0.002412
1996/05/24,0.002491
1996/05/28,-0.008475
1996/05/29,-0.006369
1996/05/30,0.005152
1996/05/31,-0.001355
1996/06/03,-0.002304
1996/06/04,0.006593
1996/06/05,0.006874
1996/06/06,-0.007386
1996/06/07,-0.002097
1996/06/10,-0.000847
1996/06/11,-0.001094
1996/06/12,-0.000606
1996/06/13,-0.002772
1996/06/14,-0.004141
1996/06/17,-0.001870
1996/06/18,-0.007164
1996/06/19,-0.001008
1996/06/20,-0.003087
1996/06/21,0.005643
1996/06/24,0.003633
1996/06/25,-0.002130
1996/06/26,-0.007862
1996/06/27,0.005842
1996/06/28,0.007407
1996/07/01,0.007609
1996/07/02,-0.002411
1996/07/03,-0.003111
1996/07/05,-0.019582
1996/07/08,-0.008261
1996/07/09,0.003554
1996/07/10,-0.001906
1996/07/11,-0.017939
1996/07/12,0.000063
1996/07/15,-0.026168
1996/07/16,-0.005379
1996/07/17,0.014060
1996/07/18,0.015963
1996/07/19,-0.007259
1996/07/22,-0.009244
1996/07/23,-0.014118
1996/07/24,-0.002818
1996/07/25,0.009209
1996/07/26,0.009106
1996/07/29,-0.007401
1996/07/30,0.004731
1996/07/31,0.007394
1996/08/01,0.015413
1996/08/02,0.018207
1996/08/05,-0.002568
1996/08/06,0.002969
1996/08/07,0.004062
1996/08/08,-0.001242
1996/08/09,-0.002369
1996/08/12,0.005302
1996/08/13,-0.007495
1996/08/14,0.003878
1996/08/15,0.001143
1996/08/16,0.004323
1996/08/19,0.001180
1996/08/20,-0.001032
1996/08/21,-0.000572
1996/08/22,0.008468
1996/08/23,-0.003311
1996/08/26,-0.003433
1996/08/27,0.004133
1996/08/28,0.000350
1996/08/29,-0.008978
1996/08/30,-0.005867
1996/09/03,0.001607
1996/09/04,0.001737
1996/09/05,-0.009316
1996/09/06,0.009639
1996/09/09,0.009556
1996/09/10,0.000703
1996/09/11,0.004259
1996/09/12,0.006305
1996/09/13,0.012653
1996/09/16,0.004973
1996/09/17,-0.001055
1996/09/18,-0.001504
1996/09/19,0.002011
1996/09/20,0.005055
1996/09/23,-0.001752
1996/09/24,0.000075
1996/09/25,0.001839
1996/09/26,0.002205
1996/09/27,0.000804
1996/09/30,0.002126
1996/10/01,0.000531
1996/10/02,0.007394
1996/10/03,-0.001473
1996/10/04,0.011026
1996/10/07,0.001947
1996/10/08,-0.004117
1996/10/09,-0.004652
1996/10/10,-0.002057
1996/10/11,0.006826
1996/10/14,0.004418
1996/10/15,-0.001422
1996/10/16,0.000895
1996/10/17,0.002519
1996/10/18,0.003693
1996/10/21,-0.002430
1996/10/22,-0.006109
1996/10/23,0.000264
1996/10/24,-0.004381
1996/10/25,-0.001838
1996/10/28,-0.005610
1996/10/29,0.002459
1996/10/30,-0.000005
1996/10/31,0.006197
1996/11/01,-0.001558
1996/11/04,0.002856
1996/11/05,0.008582
1996/11/06,0.013691
1996/11/07,0.004104
1996/11/08,0.003755
1996/11/11,0.002012
1996/11/12,-0.001739
1996/11/13,0.001893
1996/11/14,0.005906
1996/11/15,0.000950
1996/11/18,-0.001414
1996/11/19,0.005419
1996/11/20,0.002528
1996/11/21,-0.001853
1996/11/22,0.007379
1996/11/25,0.009615
1996/11/26,-0.001630
1996/11/27,0.000395
1996/11/29,0.002945
1996/12/02,0.000522
1996/12/03,-0.006780
1996/12/04,-0.003174
1996/12/05,-0.000594
1996/12/06,-0.007232
1996/12/09,0.013901
1996/12/10,-0.002452
1996/12/11,-0.009267
1996/12/12,-0.012178
1996/12/13,-0.002678
1996/12/16,-0.010525
1996/12/17,0.004565
1996/12/18,0.008300
1996/12/19,0.015757
1996/12/20,0.003099
1996/12/23,-0.003179
1996/12/24,0.004715
1996/12/26,0.005695
1996/12/27,0.001962
1996/12/30,-0.001948
1996/12/31,-0.009417
1997/01/02,-0.007359
1997/01/03,0.013492
1997/01/06,0.000703
1997/01/07,0.007351
1997/01/08,-0.003752
1997/01/09,0.007499
1997/01/10,0.005146
1997/01/13,-0.000108
1997/01/14,0.011041
1997/01/15,-0.001530
1997/01/16,0.002916
1997/01/17,0.007129
1997/01/20,0.002394
1997/01/21,0.005429
1997/01/22,0.003967
1997/01/23,-0.008096
1997/01/24,-0.009256
1997/01/27,-0.006596
1997/01/28,0.000519
1997/01/29,0.006677
1997/01/30,0.011775
1997/01/31,0.003341
1997/02/03,0.000265
1997/02/04,0.001369
1997/02/05,-0.012224
1997/02/06,0.002128
1997/02/07,0.009367
1997/02/10,-0.006290
1997/02/11,0.003572
1997/02/12,0.014928
1997/02/13,0.010211
1997/02/14,-0.001746
1997/02/18,0.006931
1997/02/19,-0.002860
1997/02/20,-0.010985
1997/02/21,-0.002204
1997/02/24,0.008246
1997/02/25,0.002709
1997/02/26,-0.007353
1997/02/27,-0.011942
1997/02/28,-0.004613
1997/03/03,0.003758
1997/03/04,-0.002236
1997/03/05,0.011550
1997/03/06,-0.002506
1997/03/07,0.006814
1997/03/10,0.008570
1997/03/11,-0.001959
1997/03/12,-0.007720
1997/03/13,-0.015964
1997/03/14,0.003526
1997/03/17,-0.001184
1997/03/18,-0.007267
1997/03/19,-0.006177
1997/03/20,-0.001847
1997/03/21,0.001160
1997/03/24,0.004840
1997/03/25,-0.000335
1997/03/26,0.002518
1997/03/27,-0.018549
1997/03/31,-0.021989
1997/04/01,0.001827
1997/04/02,-0.011309
1997/04/03,-0.000273
1997/04/04,0.011111
1997/04/07,0.007864
1997/04/08,0.004192
1997/04/09,-0.005362
1997/04/10,-0.004026
1997/04/11,-0.024128
1997/04/14,0.005169
1997/04/15,0.011999
1997/04/16,0.008122
1997/04/17,-0.000863
1997/04/18,0.004313
1997/04/21,-0.009271
1997/04/22,0.013684
1997/04/23,-0.000012
1997/04/24,-0.002017
1997/04/25,-0.009074
1997/04/28,0.007791
1997/04/29,0.023649
1997/04/30,0.009343
1997/05/01,-0.000316
1997/05/02,0.019173
1997/05/05,0.021008
1997/05/06,-0.002737
1997/05/07,-0.011100
1997/05/08,0.004450
1997/05/09,0.005414
1997/05/12,0.012760
1997/05/13,-0.004298
1997/05/14,0.003512
1997/05/15,0.005937
1997/05/16,-0.010439
1997/05/19,0.002846
1997/05/20,0.008911
1997/05/21,-0.000619
1997/05/22,-0.002138
1997/05/23,0.012570
1997/05/27,0.002988
1997/05/28,-0.000999
1997/05/29,-0.002346
1997/05/30,0.005416
1997/06/02,0.000090
1997/06/03,-0.001244
1997/06/04,-0.004105
1997/06/05,0.004372
1997/06/06,0.013499
1997/06/09,0.004614
1997/06/10,0.001526
1997/06/11,0.003956
1997/06/12,0.012720
1997/06/13,0.009850
